UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0062205P,UNIVERSITE COTE D'AZUR,178 *,01MCF0814,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit des affaires/droit du travaiL,NICE,
0062205P,UNIVERSITE COTE D'AZUR,179 *,01MCF0507,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Procédures collectives et procédure civile,NICE,
0062205P,UNIVERSITE COTE D'AZUR,180 *,01 MCF 1439,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit privé, droit des obligations et théorie du droit",NICE,
0134009M,UNIVERSITE AIX-MARSEILLE,1215 *,1701,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit civil immobilier,Aix-en-Provence,
0141408E,UNIVERSITE DE CAEN,4596 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit social, droit des affaires",CAEN,
0141408E,UNIVERSITE DE CAEN,4608 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit judiciaire privé et procédure pénale,XXX,
0141408E,UNIVERSITE DE CAEN,4609 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit fiscal,XXX,
0211237F,UNIVERSITE DE DIJON,4724 *,E000000526,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé,DIJON,S
0290346U,UNIV. DE BRETAGNE OCCIDENTALE (BREST),4480 *,0100MCF0960,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Enseigner toutes les matières de droit civil et de droit commercial, et développer des projets innovants qui se rattacheront à l¿axe gouvernance et/ou à l¿axe contentieux du laboratoire Lab-Lex",Brest et Quimper,
0313124C,UNIVERSITE TOULOUSE CAPITOLE (EPE),14,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Enseignement: La moitié du service, au moins, sera effectuée en INNOVATION PEDAGOGIQUE et en ANGLAIS.Enseignement et recherche: DROIT PROCESSUEL(Equipes de recherche dans Profil détaillé ci-joint)",2 rue du Doyen Gabriel Marty,
0333298F,UNIVERSITE DE BORDEAUX,744 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé,Bordeaux - Agen,S
0333298F,UNIVERSITE DE BORDEAUX,745 *,,26-I-1,MCF,Non,1,,,31/12/2023,23/02/2023,30/03/2023,Droit de la propriété intellectuelle : droit de la propriété littéraire et artistique droit de la propriété industrielle et commerciale appliqués au domaine de l'information scientifique et technique,Pessac,
0341089Z,UNIVERSITE MONTPELLIER 3 (PAUL VALERY),4349 *,365,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé,Montpellier/Beziers,
0350697T,UNIV. RENNES 1 (IUT RENNES),46 *,MCF1041,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Enseignement au GEA de l'IUT de Rennes (BUT/Licences Professionnelles). Recherche en droit des obligations/droit social avec ouverture européenne et intérêt pour la recherche collective/sur projets,RENNES,
0370800U,UNIVERSITE DE TOURS,4605 *,8053,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit fiscal, droit commercial et contentieux commercial",TOURS,
0370800U,UNIVERSITE DE TOURS,4606 *,1087,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit du travail et protection sociale,TOURS,
0383546Y,UNIVERSITE GRENOBLE ALPES,151,37729,26-I-1,MCF,Non,1,,,01/09/2023,15/02/2023,17/03/2023,Droit de la santé/Droit des données /Droit de la bioéthique,Grenoble ou Valence,
0421095M,UNIVERSITE DE SAINT-ETIENNE,4415 *,0077,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,DROIT PRIVE,SAINT-ETIENNE,
0421095M,UNIVERSITE DE SAINT-ETIENNE,4416 *,0647,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,DROIT PRIVE,SAINT-ETIENNE,S
0442953W,NANTES UNIVERSITE,95 *,0395,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit pénal, procédure pénale, sciences criminelles",Nantes,
