UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0442953W,NANTES UNIVERSITE,97 *,1020,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit des contrats,Droit immobilier",Nantes,
0450855K,UNIVERSITE D'ORLEANS,4533 *,MCF0677,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit commercial,IUT de l'Indre,
0542493S,UNIVERSITE DE LORRAINE,1597 *,01MCF0200,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit Civil/Droit des affaires,NANCY,
0542493S,UNIVERSITE DE LORRAINE,1606 *,01MCF0328,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé,NANCY,
0542493S,UNIVERSITE DE LORRAINE,1611 *,01MCF0207,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit civil,NANCY,
0542493S,UNIVERSITE DE LORRAINE,1632 *,01MCF0839,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé,NANCY,
0561718N,UNIVERSITE DE BRETAGNE SUD (LORIENT),4203 *,0966,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,VANNES,
0597239Y,UNIVERSITE DE LILLE,128 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit patrimonial de l'entreprise,Lille,
0597239Y,UNIVERSITE DE LILLE,136 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit civil,Lille,
0597239Y,UNIVERSITE DE LILLE,163 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droits privé, droits des affaires",Roubaix,
0632084Y,UNIVERSITE CLERMONT AUVERGNE,68 *,MCF0348,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Enseignements principalement en droit commercial et droit des contrats. Une compétence supplémentaire en fiscalité des personnes et de l'entreprise serait appréciée.,Clermont-Ferrand,
0632084Y,UNIVERSITE CLERMONT AUVERGNE,71 *,MCF0485,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit  pénal - Procédure pénale - Droit pénal comparé - Droit pénal international,Clermont-Ferrand,
0640251A,UNIVERSITE DE PAU,4287,,26-I-1,MCF,Non,1,,,01/09/2023,10/02/2023,16/03/2023,Droit civil - Droit des affaires,Pau,
0660437S,UNIVERSITE DE PERPIGNAN (VIA DOMITIA),4291 *,,29,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,UPVD Mailly - Site de Narbonne et Paris,
0673021V,UNIVERSITE DE STRASBOURG,4835 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit de la propriété intellectuelle, droit des brevets, droit international privé",Strasbourg,
0673021V,UNIVERSITE DE STRASBOURG,4836 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit international privé,Strasbourg,
0673021V,UNIVERSITE DE STRASBOURG,4837 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit et santé,Strasbourg,
0673021V,UNIVERSITE DE STRASBOURG,4838 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit des biens et droit immobilier,Strasbourg,
0681166Y,UNIVERSITE DE MULHOUSE,4318 *,01 MCF 0510,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,"Fac des Sciences Eco, Soc. et Juridiques",
0691775E,UNIVERSITE LYON 2 (LUMIERE),4591 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit civil/Droit judiciaire privé,Campus de Lyon et Bron,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4596 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit des transports /Contrats d¿affaires,Campus de Lyon et Bron,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4425 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,Lyon,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4426 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,Lyon,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4432 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,Lyon,
0730858L,UNIVERSITE DE SAVOIE MONT-BLANC,4371 *,118,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"E:Droit privé.R:Droit du dommage corporel, droit de la consommation, droit des énergies renouvelables (solaire).",CHAMBERY,S
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4743 *,14177,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,Lourcine-Pantheon-Cassin,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4744 *,14178,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,Lourcine-Pantheon-Cassin,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4745 *,14193,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé et sciences criminelles,Lourcine-Pantheon-Cassin,
0756305W,UNIVERSITE PARIS PANTHEON ASSAS,12 *,0100MCF0080,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,,Paris,
0756305W,UNIVERSITE PARIS PANTHEON ASSAS,13 *,0100MCF0095,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,,Paris,
0756305W,UNIVERSITE PARIS PANTHEON ASSAS,14 *,0100MCF0082,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,,Paris,
0761904G,UNIVERSITE DE ROUEN,4651 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit judiciaire privé Droit processuel,Rouen Pasteur,
0762762P,UNIVERSITE DU HAVRE,4193 *,143,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit international / Droit des affairesEnseignements possibles en anglais (Masters ; Licence droit bilingue)Intégration aux axes de recherche du CERMUD,Universite Le Havre Normandie,
0860856N,UNIVERSITE DE POITIERS,4801 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,"Droit des affaires, droit des entreprises en difficulte et droit de la concurrence en BUT GEA. Encadrement des etudiants, suivi stages et apprentis, à court terme responsabilites administratives.",Poitiers,
0870669E,UNIVERSITE DE LIMOGES,4442 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé général,LIMOGES,
0870669E,UNIVERSITE DE LIMOGES,4456 *,,26-I-1,MCF,Non,1,2,,01/09/2023,23/02/2023,30/03/2023,Droit privé et Droit public,TULLE,
0911975C,UNIVERSITE D'EVRY VAL D'ESSONNE,4291 *,EPE-0182,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,droit privé,EVRY,
0912408Y,UNIVERSITE PARIS SACLAY,215 *,01MCF1543,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit social,IUT de Sceaux,
0912408Y,UNIVERSITE PARIS SACLAY,228 *,01MCF329,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit de la santé - Droit civil,Faculte Droit Economie Gestion J. Monnet,
0912408Y,UNIVERSITE PARIS SACLAY,229 *,01MCF1128,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit pénal et procédure pénale civil,Faculte Droit Economie Gestion J. Monnet,
0912408Y,UNIVERSITE PARIS SACLAY,231 *,01MCF507,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé ¿ Droit du numérique,Faculte Droit Economie Gestion J. Monnet,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4792 *,E2DE103947,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit social,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4793 *,E2DE104033,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit pénal - Droit pénal des affaires - Conformité / Compliance - Droit de l'Union européenne.,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4799 *,CREATION,26-I-1,MCF,Non,1,2,,01/09/2023,23/02/2023,30/03/2023,Connaissances approfondies du common law et recherches en common law/droit comparé. Bilingue anglais.,NANTERRE,
0931238R,UNIVERSITE PARIS 13,4486 *,0416,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit civil et économique,Villetaneuse,
0931238R,UNIVERSITE PARIS 13,4487 *,0277,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé,Villetaneuse,
0931827F,UNIVERSITE PARIS 8,4686 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Maître de conférences en droit privé,SAINT DENIS,
0931827F,UNIVERSITE PARIS 8,4687 *,,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Maître de conférences en droit privé,SAINT DENIS,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4975 *,0007,26-I-1,MCF,Non,1,2,,01/09/2023,23/02/2023,30/03/2023,Droit comparé - Droit étranger,Faculte de Droit,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4976 *,0019,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit civil- Droit de l'entreprise,Faculte de Droit,
0952259P,CY CERGY PARIS UNIVERSITE,155 *,,26-I-1,MCF,Non,1,2,,01/09/2023,23/02/2023,30/03/2023,Droit fiscal des affaires - Droit des affaires,Chenes 1 Cergy,
7200664J,UNIVERSITE DE CORTE,4118 *,0063,26-I-1,MCF,Non,1,,,01/09/2023,23/02/2023,30/03/2023,Droit privé - Droit des affaires,CORTE,
9740478B,UNIVERSITE DE LA REUNION,4388,,26-I-1,MCF,Non,1,,,01/09/2023,01/03/2023,31/03/2023,Droit privé et sciences criminelles,SAINT DENIS,
0134009M,UNIVERSITE AIX-MARSEILLE,1186 *,3301,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Droit fiscal et financier, Droit international économique",Aix-en-Provence,
0134009M,UNIVERSITE AIX-MARSEILLE,1216 *,1730,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Théorie du droit ¿ Épistémologie juridique ¿ Méthodologie juridique ¿ Argumentation et raisonnement juridique.,Aix-en-Provence,
0134009M,UNIVERSITE AIX-MARSEILLE,1217 *,1682,33,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Justice constitutionnelle comparée ¿ Droit américain ¿ Droit anglais ¿ Droit canadien ¿ Numérique ¿ Interactions institutionnelles,Aix-en-Provence,
0141408E,UNIVERSITE DE CAEN,4602 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Droit de l'Homme, droit des libertés",CAEN,
0171463Y,UNIVERSITE DE LA ROCHELLE,4242 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Le candidat sera principalement chargé d¿enseignements en droit constitutionnel,LA ROCHELLE,
0211237F,UNIVERSITE DE DIJON,4723 *,E000001175,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public,DIJON,
0211237F,UNIVERSITE DE DIJON,4726 *,E000000513,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public,NEVERS,S
0251215K,UNIVERSITE DE BESANCON,4682 *,0333,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public,BELFORT-MONTBELIARD,
0313124C,UNIVERSITE TOULOUSE CAPITOLE (EPE),4,0280,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit international public et droit public comparé (voir profil)-Capacité à enseigner et à effectuer des recherches en langue anglaise-Capacité à mettre en oeuvre l'innovation pédagogique,2 rue du Doyen Gabriel Marty,
0313124C,UNIVERSITE TOULOUSE CAPITOLE (EPE),5,0309,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public interne(Equipes de recherche en Profil détaillé ci-joint),2 rue du Doyen Gabriel Marty,
0383546Y,UNIVERSITE GRENOBLE ALPES,152,38377,26-I-1,MCF,Non,2,,,01/09/2023,15/02/2023,17/03/2023,Droit constitutionnel,Grenoble et Valence,
0442953W,NANTES UNIVERSITE,98 *,1021,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit Fiscal et droit des finances publiques,Nantes,
0542493S,UNIVERSITE DE LORRAINE,1612 *,02MCF0217,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public,METZ,S
0542493S,UNIVERSITE DE LORRAINE,1613 *,02MCF0300,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit de l'environnement - droit des collectivités territoriales,METZ,
0542493S,UNIVERSITE DE LORRAINE,1614 *,02MCF0350,33,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit Public,METZ,S
0597239Y,UNIVERSITE DE LILLE,127 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public économique,Lille,
0632084Y,UNIVERSITE CLERMONT AUVERGNE,67 *,MCF0003,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Le profil enseignement et recherche recherché correspond à un ou une spécialiste de droit de l'Union européenne. Un intérêt pour les questions en lien avec les territoires est attendu.,Clermont-Ferrand,
0632084Y,UNIVERSITE CLERMONT AUVERGNE,69 *,MCF0356,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Le profil enseignement et recherche recherché est celui d'un spécialiste de droit public des affaires. Un intérêt pour la question des mobilités et en particulier des mobilités durables est attendu.,Clermont-Ferrand,
0640251A,UNIVERSITE DE PAU,4293,,26-I-1,MCF,Non,2,,,01/09/2023,10/02/2023,16/03/2023,"Droit public - Rattachement à l'IE2IA.Spécialités : justice constitutionnelle, droits fondamentaux, organisation territoriale. Perspective compariste tournée vers le monde ibéro-américain.",Pau,
0673021V,UNIVERSITE DE STRASBOURG,4839 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit international public,Strasbourg,
0673021V,UNIVERSITE DE STRASBOURG,4840 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public,Strasbourg,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4592 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public interne/Droits fondamentaux/Droit international public,Campus de Lyon et Bron,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4593 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit administratif/Administration publique/Fonction publique,Campus de Lyon et Bron,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4427 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Droit constitutionnel, libertés fondamentales, laïcité et droit européen",Lyon,
0730858L,UNIVERSITE DE SAVOIE MONT-BLANC,4372 *,640,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"E:Droit public interne.R:Droit de l'environnement, politiques territoriales, études critiques du droit.",CHAMBERY,S
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4746 *,11075,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit fiscal - finances publiques / Droit public interne,Pantheon-Lourcine-Cassin,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4747 *,20353,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public des affaires,Pantheon-Lourcine-Cassin,
0756305W,UNIVERSITE PARIS PANTHEON ASSAS,15 *,0200MCF0118,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,,Paris,
0756305W,UNIVERSITE PARIS PANTHEON ASSAS,16 *,0200MCF0110,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,,Paris,
0761904G,UNIVERSITE DE ROUEN,4649 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Finances publiques locales Droit des collectivités territoriales,Rouen Pasteur,
0801344B,UNIVERSITE D'AMIENS,4634 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,DROIT PUBLIC INTERNE - FINANCES PUBLIQUES,POLE UNIVERSITAIRE CATHEDRALE,
0860856N,UNIVERSITE DE POITIERS,4799 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Enseignements de droit appliqués à la protection civile et à la gestion des risques professionnels technologiques et environnementaux,NIORT,
0860856N,UNIVERSITE DE POITIERS,4800 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Recherche:Droit administratif,contentieux administratif et droit de l¿action publique;Enseignements en droit public général,principalement en droit administratif,finances publiques et droit fiscal",Poitiers,
0870669E,UNIVERSITE DE LIMOGES,4443 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Droit public général, droit de l action publique",LIMOGES,
0870669E,UNIVERSITE DE LIMOGES,4448 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"droit administratif, droit constitutionnel, finances publiques, fonction publique, méthodologie des concours de la fonction publique",LIMOGES,
0912408Y,UNIVERSITE PARIS SACLAY,230 *,02MCF923,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Droit public, Finances publiques, Droit fiscal, Gestion publique",Faculte Droit Economie Gestion J. Monnet,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4794 *,E2DE103949,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit des libertés,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4795 *,E2DE104558,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"L'UFR Droit et science politique de l'Université Paris Nanterre recrute un-e Maître de conférences en droit public, le profil du poste étant en droit public interne, droit public économique.",NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4796 *,E2DE101022,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit européen (droit de l'UE) et droit international public.Langues : français et anglais.,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4842 *,E2DE101026,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"Droit public général : droit constitutionnel, droit administratif, droit deslibertés",NANTERRE,
0952259P,CY CERGY PARIS UNIVERSITE,157 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,"L'UFR de droit de CYU souhaite recruter un(e) maître de conférences en droit public spécialiste de droit administratif, avec des compétences particulières en droit des collectivités territoriales.",Chenes 1 Cergy,
0952259P,CY CERGY PARIS UNIVERSITE,161 *,,26-I-1,MCF,Non,2,4,,01/09/2023,23/02/2023,30/03/2023,Formation juridique pour accompagner le développement de ses spécialités droit et affaires publiques ainsi que de son pôle concours administratifs au sein de l i-EPrépa.,IEP DE SAINT-GERMAIN-EN-LAYE,
9710585J,UNIVERSITE DES ANTILLES,4460 *,,26-I-1,MCF,Non,2,,,01/09/2023,23/02/2023,30/03/2023,Droit public interne - connaissances appréciées en droit de l'environnement,CAMPUS DE SCHOELCHER,
0353074B,UNIVERSITE DE RENNES (EPE),45 *,MCF1420,26-I-1,MCF,Non,3,,,01/09/2023,23/02/2023,30/03/2023,Histoire comparée du droit ; Droit comparé,RENNES,
0370800U,UNIVERSITE DE TOURS,4608 *,0797,26-I-1,MCF,Non,3,,,01/09/2023,23/02/2023,30/03/2023,Histoire du droit privé,TOURS,
0490970N,UNIVERSITE D'ANGERS,4457,PTMCF0111,26-I-1,MCF,Non,3,,,01/09/2023,20/02/2023,24/03/2023,Histoire du droit et des institutions,ANGERS,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4428 *,,26-I-1,MCF,Non,3,,,01/09/2023,23/02/2023,30/03/2023,"Histoire du droit et des institutions, histoire des idées politiques",Lyon,
0756305W,UNIVERSITE PARIS PANTHEON ASSAS,18 *,0300MCF0133,26-I-1,MCF,Non,3,,,01/09/2023,23/02/2023,30/03/2023,,Paris,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4797 *,E2DE101055,26-I-1,MCF,Non,3,,,01/09/2023,23/02/2023,30/03/2023,Maître de conférences en Histoire du droit et des institutions.,NANTERRE,
0171463Y,UNIVERSITE DE LA ROCHELLE,4226 *,,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,Science politique - Environnement,LA ROCHELLE,
0330192E,I.E.P DE BORDEAUX,4068 *,MCF00958,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,"Enseignement et recherche.Science politique,sociologie politique, Afriques, circulations culturelles sud-sud.Enseignements généralistes,masters affaires internationales,méthodologie de la recherche.",PESSAC,
0333298F,UNIVERSITE DE BORDEAUX,746 *,,29,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,Science politique,Pessac - Agen - Perigueux,S
0341089Z,UNIVERSITE MONTPELLIER 3 (PAUL VALERY),4350 *,465,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,Science politique : Sociologie politique comparée,Montpellier/Beziers,S
0352317D,I.E.P DE RENNES,4081 *,,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,"Relations internationales, politique comparée",RENNES,
0380134P,IEP DE GRENOBLE,4074 *,,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,,"1030, AV. DES UNIVERSITES",
0380134P,IEP DE GRENOBLE,4076 *,,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,,"1030, AV. DES UNIVERSITES",
0421095M,UNIVERSITE DE SAINT-ETIENNE,4414 *,0897,33,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,"Action publique territoriale, politiques urbaines et environnementales, dimension internationale",SAINT-ETIENNE,
0597239Y,UNIVERSITE DE LILLE,135 *,,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,Sociologie de l'Union européenne,Lille,
0623957P,UNIVERSITE D'ARTOIS,4418 *,04MCF0444,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,"Sociologie politique, sous-spécialisation en analyse des politiques publiques",UFR DROIT - DOUAI,
0632084Y,UNIVERSITE CLERMONT AUVERGNE,70 *,MCF0405,26-I-1,MCF,Non,4,,,01/09/2023,23/02/2023,30/03/2023,Science politique - Relations internationales,Clermont-Ferrand,
