UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0062205P,UNIVERSITE COTE D'AZUR,93 *,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit commercial - Droit des affaires,IUT Nice cote d'azur,
0134009M,UNIVERSITE AIX-MARSEILLE,1046 *,9495,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit des affaires,AIX-EN-PROVENCE,
0134009M,UNIVERSITE AIX-MARSEILLE,1047 *,9490,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit pénal et sciences,AIX-EN-PROVENCE,
0134009M,UNIVERSITE AIX-MARSEILLE,1048 *,CREATION BMS,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit des affaires - Droit maritime - Droit des transports - Développement durable,AIX-EN-PROVENCE,
0141408E,UNIVERSITE DE CAEN,4538 *,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,"L¿enseignant-chercheur recruté dispensera principalement des enseignements (CM, TD et séminaires) en droit du travail, relations individuelles et collectives, tant en Licence qu¿en master.",CAEN,
0171463Y,UNIVERSITE DE LA ROCHELLE,4194 *,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,"Droit privé et Sciences criminelles, Droit du numérique",LA ROCHELLE UNIVERSITE,
0211237F,UNIVERSITE DE DIJON,4638 *,E000001309,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit des affaires - Droit économique,Dijon,
0211237F,UNIVERSITE DE DIJON,4639 *,E000000748,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit privé et sciences criminelles,Dijon,
0211237F,UNIVERSITE DE DIJON,4650 *,E000001425,26-I-1,MCF,Non,1,2,,01/09/2022,24/02/2022,31/03/2022,Droit,Chalon-sur-Saone,
0290346U,UNIV. DE BRETAGNE OCCIDENTALE (BREST),4431 *,0100MCF0478,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,"Toutes les matières de droit civil et de droit commercial, et développer des projets innovants qui se rattacheront soit à l'axe vulnérabilité, soit à l'axe contentieux du laboratoire Lab-LEX",Brest et Quimper,
0301687W,UNIVERSITE DE NIMES,4192 *,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,"Droit privé, droit des affaires, droit de l¿immobilier et de la construction",NIMES,
0311382J,UNIVERSITE TOULOUSE 1,4254,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,"""Droit judiciaire privé"" ET ""Droit économique"" ET ""Théorie du procès"".Possibilité d'enseignement et de recherche en anglais",Toulouse,
0311382J,UNIVERSITE TOULOUSE 1,4255,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Voir pièce jointe,Rodez,
0342490X,UNIVERSITE DE MONTPELLIER,19 *,,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,"Droit des affaires, Droit du patrimoine",Montpellier,
0370800U,UNIVERSITE DE TOURS,4550 *,1510,26-I-1,MCF,Non,1,,,01/09/2022,24/02/2022,31/03/2022,Droit civil,TOURS,
0490970N,UNIVERSITE D'ANGERS,4401,PTMCF0365,26-I-1,MCF,Non,1,,,01/09/2022,23/02/2022,25/03/2022,"droit des affaires : droit des sociétés, droit des procédures collectives, droit commercial général, droit des marchés d¿instruments financiers.",ANGERS,
0490970N,UNIVERSITE D'ANGERS,4402,PTMCF0002,26-I-1,MCF,Non,1,,,01/09/2022,23/02/2022,25/03/2022,"Droit civil : droit de la famille, droit des personnes, introduction au droit, théorie générale du droit, sources du droit.",ANGERS,
