UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0333298F,UNIVERSITE DE BORDEAUX,551 *,,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Droit international public,Pessac,
0383546Y,UNIVERSITE GRENOBLE ALPES,56 *,37619,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Droit public interne - droit public des affaires avec une dimension théorique,Grenoble ou Valence,
0440984F,UNIVERSITE DE NANTES,4637 *,PR1689,46-1,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,"Droit public interne, droit public des affaires, droit portuaire",NANTES,
0542493S,UNIVERSITE DE LORRAINE,1363 *,02PR0390,46-3,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Droit Public,METZ,
0597065J,UNIVERSITE DE LILLE,231 *,,46-3,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Droit public - Droit constitutionnel et parlementaire,LILLE,
0640251A,UNIVERSITE DE PAU,4236 *,PR0011,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,"Enseignement:droit européen,public,international. Recherche:droit UE,les thématiques : Espace de liberté, sécurité et justice; Intégration européenne; Europe, droit et action publique; Frontières",Bayonne,
0673021V,UNIVERSITE DE STRASBOURG,4727 *,,46-3,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Droit fiscal,Strasbourg,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4646 *,1546,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,DROIT PUBLIC DES AFFAIRES,"12, place du pantheon",
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4652 *,creation,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,DROIT ADMINISTRATIF / DROIT ADMINISTRATIF COMPARE,Centre Pantheon / Campus Port-Royal,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4653 *,creation,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,"Droits étrangers, Droits régionaux",Centre Pantheon et Campus Port-Royal,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4280 *,0200PR0398,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Pas de profil,PARIS,
0870669E,UNIVERSITE DE LIMOGES,4378 *,0625,46-1,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,"Droit public général, droit constitutionnel, droit des finances publiques,droit international public, droit européen",LIMOGES,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4641 *,382,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,"L¿UFR Droit et science politique de l¿Université Paris Nanterre recrute un-e Professeur.e en droit public interne, le profil du poste étant généraliste.Droit public interne.....",NANTERRE,
0931827F,UNIVERSITE PARIS 8,4571 *,U0200PR1052,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Professeur de droit public,SAINT-DENIS,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4817 *,1546,51,PR,Non,2,,,01/09/2021,25/02/2021,30/03/2021,Droit de l¿union européenne,faculte de droit,
9740478B,UNIVERSITE DE LA REUNION,4314,,46-1,PR,Non,2,,,01/09/2021,26/02/2021,30/03/2021,Assurer des enseignements en droit public (licence et master). Forte implication dans l'établissement - Activité de recherche en droit public interne.,SITE DU MOUFIA,
0333298F,UNIVERSITE DE BORDEAUX,552 *,,46-1,PR,Non,3,,,01/09/2021,25/02/2021,30/03/2021,Histoire du droit et des institutions,Pessac,S
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4818 *,0043,51,PR,Non,3,,,01/09/2021,25/02/2021,30/03/2021,"Histoire du droit privé, Théorie du droit, Histoire de la pensée juridique, Histoire comparée du droit",faculte de droit,S
0130221V,I.E.P D'AIX-EN-PROVENCE,4055 *,,51,PR,Non,4,,,01/09/2021,25/02/2021,30/03/2021,Politiques et relations internationales,IEP AIX EN PROVENCE,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4483 *,,46-1,PR,Non,4,,,01/09/2021,25/02/2021,30/03/2021,"La personne recrutée sera amenée à enseigner à tous les niveaux de la formation de science politique de l'Université Lyon 2 (Licence 1, 2 et 3 ; Master 1 et 2 ; CM comme TD).","Campus Porte des Alpes, Bron",
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4376 *,,46-1,PR,Non,4,,,01/09/2021,25/02/2021,30/03/2021,"Science politique, spécialité relationsinternationales et études stratégiques",Lyon,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4281 *,0400PR0015,51,PR,Non,4,,,01/09/2021,25/02/2021,30/03/2021,Pas de profil,PARIS,
0801344B,UNIVERSITE D'AMIENS,4532 *,,46-1,PR,Non,4,,,01/09/2021,25/02/2021,30/03/2021,SCIENCE POLITIQUE,POLE UNIVERSITAIRE CATHEDRALE,
0062205P,UNIVERSITE COTE D'AZUR,62 *,05 PR 769,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Finance d'entreprise,Nice,
0134009M,UNIVERSITE AIX-MARSEILLE,972 *,3071,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,"Economie publique théorique, empirique et expérimentale",AIX EN PROVENCE-MARSEILLE,
0134009M,UNIVERSITE AIX-MARSEILLE,974 *,5327,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Economie internationale - Economie du développement,AIX EN PROVENCE - MARSEILLE,
0311382J,UNIVERSITE TOULOUSE 1,4234,,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,"Chercheur ayant publié dans les domaines de l'éco. industrielle (innovation, propriété intellectuelle, analyse éco. du droit), dans des revues de rang A et possédant de grandes aptitudes d'enseignant",2 rue du Doyen Gabriel Marty,
0333298F,UNIVERSITE DE BORDEAUX,525 *,,46-3,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Sciences économiques 1,Pessac,S
0333298F,UNIVERSITE DE BORDEAUX,526 *,,46-3,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Sciences économiques 2,Pessac,S
0381912X,INP DE GRENOBLE,4145,,46-1,PR,Non,5,,,01/09/2021,26/02/2021,30/03/2021,"Economie : génie industriel, nouvelles technologies, impact sur l¿organisation et la stratégie industrielles",GRENOBLE,
0383546Y,UNIVERSITE GRENOBLE ALPES,57 *,37623,46-3,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Microéconomie appliquée,Grenoble,
0440984F,UNIVERSITE DE NANTES,4646 *,PR0074,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Economie appliquée,NANTES,
0490970N,UNIVERSITE D'ANGERS,4371 *,PRPR0074,46-3,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Sciences économiques,ANGERS,
0542493S,UNIVERSITE DE LORRAINE,1364 *,05PR0050,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Micro-économie et méthodes quantitatives,NANCY,
0597065J,UNIVERSITE DE LILLE,220 *,,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Économie du travail,VILLENEUVE D'ASCQ,
0690173N,I.E.P DE LYON,4077 *,,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Économie politique de l¿environnement,Campus lyonnais et stephanois,
0694123G,ECOLE NORMALE SUPERIEURE DE LYON,4225 *,PR0023,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,"Economie politique, Economie du développement",15 parvis Rene Descartes,
0720916E,UNIVERSITE DU MANS,4293 *,DEG05PR0262,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,Modélisation et évaluation des risques macroéconomiques et financiers,LE MANS,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4614 *,1563,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,"Microéconomie appliquée, économie spatiale et urbaine, économie du travail",PMF/ Centre Pantheon/ Sorbonne/,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4624 *,1539,51,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,THEORIES ECONOMIQUES ET DES ORGANISATIONS,"Pantheon, Sorbonne et Tolbiac",
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4282 *,0500PR0487,46-1,PR,Non,5,,,01/09/2021,25/02/2021,30/03/2021,"Économie du droit, économie industrielle, finance",PARIS,
