UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0062205P,UNIVERSITE COTE D'AZUR,255 *,01MCFxxx,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit du numérique et intelligence artificielle,NICE,
0141408E,UNIVERSITE DE CAEN,4646 *,,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit des affaires,CAEN,
0141408E,UNIVERSITE DE CAEN,4662 *,,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit du numérique,CAEN,
0251215K,UNIVERSITE DE BESANCON,4754 *,0282,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit civil,Besancon,
0251215K,UNIVERSITE DE BESANCON,4755 *,0407,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit civil -Droit des obligations,Besancon,
0251215K,UNIVERSITE DE BESANCON,4756 *,0002,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit fiscal,Besancon,
0251215K,UNIVERSITE DE BESANCON,4757 *,0421,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit privé (droit civil et des affaires),Belfort-Montbeliard,
0313124C,UNIVERSITE TOULOUSE CAPITOLE,28,,26-I-1,MCF,Non,1,,,01/09/2024,20/02/2024,25/03/2024,"Droit social, relations individuelles et collectives, emploi et protection sociale. Très bonne maîtrise de la langue anglaise, goût pour l'innovation pédagogique.",2 rue du Doyen Gabriel Marty,
0331766R,UNIVERSITE BORDEAUX MONTAIGNE,4413 *,,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit privé,UNIVERSITE BORDEAUX MONTAGNE,
0333298F,UNIVERSITE DE BORDEAUX,796 *,,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit des affaires,Pessac,S
0341089Z,UNIVERSITE MONTPELLIER 3 (PAUL VALERY),4410 *,0726,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,Droit privé,Montpellier,
0342490X,UNIVERSITE DE MONTPELLIER,166 *,-,26-I-1,MCF,Non,1,,,01/09/2024,22/02/2024,29/03/2024,"Droit des affaires, Droit de la distribution, Droit des groupements, Droit de la concurrence",Montpellier,
