"Périmètre";"Périmètre.ID";"Périmètre.label";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes";"Effectif.MCF";"Effectif.PR";"Effectif.ETU";"Effectif.EC";"Contexte.TauxEncadrement";"Contexte.EvolRéelle";"Contexte.EvolNécessaire";"kpi.MCF.TauxTension";"kpi.MCF.TauxRéussite";"kpi.MCF.SansPoste";"kpi.MCF.TauxSélection";"kpi.MCF.TauxSélection.Qualification";"kpi.MCF.TauxSélection.Concours";"kpi.MCF.TauxSélection.QualifVsConcours";"kpi.PériodeRenouvellement"
"Grande discipline";"DEG";"Droit éco gestion";"2013";30;0,2;7;0,286;1338;46,9;600;0,467;118;141;0,284;90;0,311;371;1297;0,478;346;0,503;5330;2326;460206;7656;1,66360282134522;220;175,54961832061;3,49595687331536;0,266769468003084;951;0,258594917787743;0,448430493273543;0,576666666666667;0,256048387096774;22,1271676300578
"Grande discipline";"DEG";"Droit éco gestion";"2014";19;0,316;9;0,333;1326;47,7;617;0,496;137;159;0,289;104;0,298;315;1252;0,462;304;0,53;5296;2318;463281;7614;1,64349498468532;178;226,408396946565;3,97460317460317;0,242811501597444;948;0,229260935143288;0,465309200603318;0,492706645056726;0,306262230919765;25,0460526315789
"Grande discipline";"DEG";"Droit éco gestion";"2015";695;0,481;216;0,449;1366;49,5;649;0,521;182;284;0,394;139;0,388;287;1330;0,483;279;0,548;5361;2335;460563;7696;1,67099832161941;260;181,454198473282;4,63414634146341;0,209774436090226;1051;0,204245973645681;0,47510980966325;0,429892141756549;0,340386384544618;27,584229390681
"Grande discipline";"DEG";"Droit éco gestion";"2016";462;0,448;146;0,459;1254;46,4;630;0,481;195;308;0,416;159;0,384;282;1341;0,495;275;0,509;5254;2353;461874;7607;1,64698597452985;171;203,137404580152;4,75531914893617;0,205070842654735;1066;0,219298245614035;0,502392344497608;0,436507936507937;0,362614913176711;27,6618181818182
"Grande discipline";"DEG";"Droit éco gestion";"2017";407;0,474;139;0,496;1277;45;635;0,461;165;301;0,435;136;0,456;296;1360;0,488;276;0,522;5209;2381;470690;7590;1,61252629118953;154;348,949109414759;4,59459459459459;0,202941176470588;1084;0,216131558339859;0,497259201252937;0,434645669291339;0,358641358641359;27,5
"Grande discipline";"DEG";"Droit éco gestion";"2018";312;0,436;95;0,463;1301;45,3;578;0,478;120;255;0,416;100;0,47;253;1340;0,466;233;0,536;5233;2413;475927;7646;1,60654890350831;210;435,566157760815;5,29644268774704;0,173880597014925;1107;0,179093005380477;0,444273635664873;0,403114186851211;0,323033707865169;32,8154506437768
"Grande discipline";"DEG";"Droit éco gestion";"2019";327;0,434;107;0,514;1320;45,9;581;0,461;104;248;0,415;94;0,383;248;1301;0,459;235;0,477;NA;NA;482246;NA;NA;NA;540,078880407125;5,24596774193548;0,180630284396618;1066;0,178030303030303;0,440151515151515;0,40447504302926;0,31889400921659;NA
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2009";708,670281847137;0,415;484;0,438;3767,41289357402;53,3;2345;0,548;441;695;0,424;345;0,4;724;3985;0,553;687;0,553;10505;4390;267353;14895;5,57128590290739;0;0;5,50414364640884;0,172396486825596;3298;0,182353253919101;0,622443057409451;0,292963752665245;0,538239533881551;21,6812227074236
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2010";615,446907377599;0,396;400;0,408;3201,87381521892;54,5;1998;0,572;452;728;0,435;354;0,415;695;4071;0,57;663;0,566;10576;4384;307246;14960;4,86906257526542;65;2222,55308524685;5,85755395683453;0,162859248341931;3408;0,207066248784907;0,624009600410624;0,331831831831832;0,525823690802407;22,5641025641026
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2011";666;0,405;477;0,43;3237;54,7;2061;0,552;451;877;0,388;372;0,419;686;4575;0,57;655;0,595;10553;4446;311554;14999;4,81425370882736;104;2462,5640819441;6,66909620991254;0,143169398907104;3920;0,202347852950263;0,636700648748841;0,317806889859292;0,544539116963594;22,8992366412214
