"Périmètre";"Périmètre.ID";"Périmètre.label";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes";"Effectif.MCF";"Effectif.PR";"Effectif.ETU";"Effectif.EC";"Contexte.TauxEncadrement";"Contexte.EvolRéelle";"Contexte.EvolNécessaire";"kpi.MCF.TauxTension";"kpi.MCF.TauxRéussite";"kpi.MCF.SansPoste";"kpi.MCF.TauxSélection";"kpi.MCF.TauxSélection.Qualification";"kpi.MCF.TauxSélection.Concours";"kpi.MCF.TauxSélection.QualifVsConcours";"kpi.PériodeRenouvellement"
"Section";"1";"Droit privé et sciences criminelles";"2011";2;0,5;0;0;250;55,2;92;0,598;33;25;0,4;21;0,381;76;252;0,587;71;0,535;1227;580;NA;1807;NA;32;NA;3,31578947368421;0,281746031746032;181;0,284;0,368;0,771739130434783;0,11731843575419;25,4507042253521
"Section";"1";"Droit privé et sciences criminelles";"2012";3;0;0;0;253;53,8;83;0,518;37;94;0,468;25;0,44;97;234;0,543;94;0,574;1218;603;NA;1821;NA;46;NA;2,41237113402062;0,401709401709402;140;0,371541501976285;0,328063241106719;1,13253012048193;-0,0691823899371069;19,3723404255319
"Section";"1";"Droit privé et sciences criminelles";"2013";2;0;0;0;215;59,5;70;0,557;26;46;0,391;24;0,417;75;183;0,557;72;0,528;1249;585;NA;1834;NA;59;NA;2,44;0,39344262295082;111;0,334883720930233;0,325581395348837;1,02857142857143;-0,013986013986014;25,4722222222222
"Section";"1";"Droit privé et sciences criminelles";"2014";1;1;0;0;225;55,1;70;0,643;31;42;0,357;27;0,37;80;177;0,571;77;0,571;1235;597;NA;1832;NA;57;NA;2,2125;0,435028248587571;100;0,342222222222222;0,311111111111111;1,1;-0,0472972972972973;23,7922077922078
"Section";"1";"Droit privé et sciences criminelles";"2015";175;0,606;14;0,714;238;57,6;75;0,56;36;41;0,39;27;0,333;61;169;0,604;60;0,667;1252;591;NA;1843;NA;68;NA;2,77049180327869;0,355029585798817;109;0,252100840336134;0,315126050420168;0,8;0,0842696629213483;30,7166666666667
"Section";"1";"Droit privé et sciences criminelles";"2016";128;0,516;18;0,556;250;60,4;80;0,713;32;45;0,556;27;0,519;63;225;0,587;62;0,516;1219;600;NA;1819;NA;44;NA;3,57142857142857;0,275555555555556;163;0,248;0,32;0,775;0,0957446808510638;29,3387096774194
"Section";"1";"Droit privé et sciences criminelles";"2017";86;0,605;13;0,692;224;50,9;65;0,431;29;45;0,467;27;0,333;78;237;0,565;74;0,635;1212;605;NA;1817;NA;42;NA;3,03846153846154;0,312236286919831;163;0,330357142857143;0,290178571428571;1,13846153846154;-0,06;24,5540540540541
"Section";"1";"Droit privé et sciences criminelles";"2018";52;0,5;6;0,333;223;51,1;55;0,527;25;38;0,553;21;0,619;66;204;0,549;64;0,609;1205;611;NA;1816;NA;41;NA;3,09090909090909;0,313725490196078;140;0,286995515695067;0,246636771300448;1,16363636363636;-0,0566037735849057;28,375
"Section";"1";"Droit privé et sciences criminelles";"2019";61;0,541;11;0,636;254;57,5;68;0,559;24;45;0,467;21;0,381;53;214;0,505;50;0,62;NA;NA;NA;NA;NA;NA;NA;4,0377358490566;0,233644859813084;164;0,196850393700787;0,267716535433071;0,735294117647059;0,0882352941176471;NA
"Section";"10";"Littératures comparées";"2009";27,7160493827161;0,429;11;0,364;187,173785168938;65,3;59;0,678;9;36;0,556;8;0,75;5;122;0,623;5;0,8;141;84;NA;225;NA;0;NA;24,4;0,040983606557377;117;0,0267131425241368;0,315215081784814;0,0847457627118644;0,296420255800929;45
"Section";"10";"Littératures comparées";"2010";18,2134038800705;0,565;5;0,8;139,220170786814;70;51;0,765;6;32;0,625;6;0,5;5;140;0,714;5;0,8;134;83;NA;217;NA;-8;NA;28;0,0357142857142857;135;0,0359143360602282;0,366326227814327;0,0980392156862745;0,342720469884241;43,4
"Section";"10";"Littératures comparées";"2011";20;0,55;10;0,7;118;67,8;39;0,795;7;23;0,609;5;0,6;6;172;0,703;6;0,667;130;86;NA;216;NA;-9;NA;28,6666666666667;0,0348837209302326;166;0,0508474576271186;0,330508474576271;0,153846153846154;0,294642857142857;36
"Section";"10";"Littératures comparées";"2012";23;0,435;13;0,385;153;66,7;63;0,73;9;37;0,595;9;0,556;3;81;0,778;3;1;132;87;NA;219;NA;-6;NA;27;0,037037037037037;78;0,0196078431372549;0,411764705882353;0,0476190476190476;0,4;73
"Section";"10";"Littératures comparées";"2013";12;0,5;8;0,625;139;65,5;68;0,691;7;26;0,654;6;0,333;7;170;0,735;7;0,571;133;85;NA;218;NA;-7;NA;24,2857142857143;0,0411764705882353;163;0,0503597122302158;0,489208633093525;0,102941176470588;0,462121212121212;31,1428571428571
"Section";"10";"Littératures comparées";"2014";23;0,652;15;0,733;147;66;59;0,627;3;16;0,75;3;0,333;7;246;0,663;7;0,571;129;82;NA;211;NA;-14;NA;35,1428571428571;0,0284552845528455;239;0,0476190476190476;0,401360544217687;0,11864406779661;0,371428571428571;30,1428571428571
"Section";"10";"Littératures comparées";"2015";22;0,409;13;0,308;150;66;60;0,8;3;16;0,625;3;0,667;3;72;0,722;3;1;129;85;NA;214;NA;-11;NA;24;0,0416666666666667;69;0,02;0,4;0,05;0,387755102040816;71,3333333333333
"Section";"10";"Littératures comparées";"2016";20;0,75;11;0,727;134;68,7;53;0,698;4;19;0,737;4;1;5;156;0,75;5;0,8;123;85;NA;208;NA;-17;NA;31,2;0,032051282051282;151;0,0373134328358209;0,395522388059701;0,0943396226415094;0,372093023255814;41,6
"Section";"10";"Littératures comparées";"2017";11;0,727;4;0,75;127;74,8;51;0,784;5;24;0,708;4;1;3;130;0,685;3;1;127;84;NA;211;NA;-14;NA;43,3333333333333;0,0230769230769231;127;0,0236220472440945;0,401574803149606;0,0588235294117647;0,387096774193548;70,3333333333333
"Section";"10";"Littératures comparées";"2018";25;0,68;14;0,857;155;62,6;70;0,643;1;18;0,778;1;0;7;150;0,713;6;1;128;85;NA;213;NA;-12;NA;21,4285714285714;0,04;144;0,0387096774193548;0,451612903225806;0,0857142857142857;0,429530201342282;35,5
"Section";"10";"Littératures comparées";"2019";22;0,636;9;0,556;158;58,9;67;0,672;4;22;0,636;4;0,5;2;91;0,681;2;0,5;NA;NA;NA;NA;NA;NA;NA;45,5;0,021978021978022;89;0,0126582278481013;0,424050632911392;0,0298507462686567;0,416666666666667;NA
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2009";39,3675213675214;0,681;32;0,656;210,870640653781;63,6;123;0,667;56;69;0,536;37;0,568;96;344;0,669;92;0,761;1349;405;NA;1754;NA;0;NA;3,58333333333333;0,267441860465116;252;0,436286434729672;0,583295994258149;0,747967479674797;0,260787691809365;19,0652173913043
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2010";28,4786324786325;0,559;20;0,55;187,820003821181;67,3;117;0,726;50;57;0,526;33;0,545;74;318;0,679;71;0,648;1351;394;NA;1745;NA;-9;NA;4,2972972972973;0,223270440251572;247;0,378021502265528;0,622936841761503;0,606837606837607;0,393768177498207;24,5774647887324
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2011";33;0,576;26;0,615;172;65,7;113;0,673;52;64;0,484;28;0,5;65;306;0,693;59;0,695;1341;404;NA;1745;NA;-9;NA;4,70769230769231;0,19281045751634;247;0,343023255813953;0,656976744186046;0,52212389380531;0,47787610619469;29,5762711864407
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2012";51;0,529;42;0,524;219;66,2;156;0,699;46;63;0,603;38;0,737;68;392;0,676;62;0,661;1337;406;NA;1743;NA;-11;NA;5,76470588235294;0,158163265306122;330;0,28310502283105;0,712328767123288;0,397435897435897;0,598726114649682;28,1129032258065
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2013";36;0,444;34;0,441;187;71,1;127;0,685;31;68;0,5;27;0,481;67;330;0,658;63;0,683;1326;402;NA;1728;NA;-26;NA;4,92537313432836;0,190909090909091;267;0,336898395721925;0,679144385026738;0,496062992125984;0,516129032258065;27,4285714285714
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2014";37;0,622;29;0,586;196;70,4;130;0,723;26;50;0,46;21;0,476;61;395;0,653;59;0,661;1312;399;NA;1711;NA;-43;NA;6,47540983606557;0,149367088607595;336;0,301020408163265;0,663265306122449;0,453846153846154;0,518248175182482;29
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2015";36;0,694;25;0,68;191;68,6;126;0,706;26;55;0,491;20;0,35;64;362;0,691;59;0,729;1339;401;NA;1740;NA;-14;NA;5,65625;0,162983425414365;303;0,308900523560209;0,659685863874346;0,468253968253968;0,507575757575758;29,4915254237288
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2016";33;0,879;27;0,926;150;67,3;111;0,676;33;51;0,686;24;0,708;67;340;0,665;62;0,774;1293;388;NA;1681;NA;-73;NA;5,07462686567164;0,182352941176471;278;0,413333333333333;0,74;0,558558558558559;0,556818181818182;27,1129032258065
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2017";41;0,78;33;0,788;226;68,1;179;0,709;30;50;0,86;22;0,818;52;398;0,671;51;0,686;1248;382;NA;1630;NA;-124;NA;7,65384615384615;0,128140703517588;347;0,225663716814159;0,792035398230089;0,284916201117318;0,731428571428571;31,9607843137255
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2018";38;0,684;35;0,743;160;63,8;124;0,645;23;59;0,78;21;0,857;52;323;0,675;44;0,659;1237;390;NA;1627;NA;-127;NA;6,21153846153846;0,136222910216718;279;0,275;0,775;0,354838709677419;0,689655172413793;36,9772727272727
"Section";"11";"Langues et littératures anglaises et anglo-saxonnes";"2019";34;0,618;28;0,679;197;66;151;0,715;22;65;0,646;19;0,632;52;349;0,691;49;0,735;NA;NA;NA;NA;NA;NA;NA;6,71153846153846;0,140401146131805;300;0,248730964467005;0,766497461928934;0,324503311258278;0,689189189189189;NA
"Section";"12";"Langues et littératures germaniques et scandinaves";"2009";22,020202020202;0,28;12;0,333;58,8063053155276;71,2;45;0,8;11;22;0,591;9;0,444;20;103;0,709;18;0,556;360;126;NA;486;NA;0;NA;5,15;0,174757281553398;85;0,30608962599198;0,765224064979949;0,4;0,661662451212557;27
"Section";"12";"Langues et littératures germaniques et scandinaves";"2010";12,3313131313131;0,286;8;0,25;55,2422868115563;66,1;32;0,719;12;20;0,5;7;0,286;16;91;0,725;16;0,75;356;121;NA;477;NA;-9;NA;5,6875;0,175824175824176;75;0,289633194487034;0,579266388974068;0,5;0,407723435609981;29,8125
"Section";"12";"Langues et littératures germaniques et scandinaves";"2011";10;0,6;7;0,857;48;64,6;28;0,714;7;16;0,5;7;0,286;17;93;0,753;17;0,765;346;118;NA;464;NA;-22;NA;5,47058823529412;0,182795698924731;76;0,354166666666667;0,583333333333333;0,607142857142857;0,354838709677419;27,2941176470588
"Section";"12";"Langues et littératures germaniques et scandinaves";"2012";16;0,5;14;0,5;56;67,9;42;0,714;8;24;0,5;8;0,375;13;101;0,683;13;0,846;344;109;NA;453;NA;-33;NA;7,76923076923077;0,128712871287129;88;0,232142857142857;0,75;0,30952380952381;0,674418604651163;34,8461538461538
"Section";"12";"Langues et littératures germaniques et scandinaves";"2013";14;0,571;9;0,556;50;60;33;0,667;9;30;0,4;8;0,375;10;101;0,673;10;0,6;335;103;NA;438;NA;-48;NA;10,1;0,099009900990099;91;0,2;0,66;0,303030303030303;0,575;43,8
"Section";"12";"Langues et littératures germaniques et scandinaves";"2014";16;0,438;9;0,333;52;59,6;42;0,595;4;13;0,385;4;0,25;8;87;0,701;8;0,875;328;100;NA;428;NA;-58;NA;10,875;0,0919540229885057;79;0,153846153846154;0,807692307692308;0,19047619047619;0,772727272727273;53,5
"Section";"12";"Langues et littératures germaniques et scandinaves";"2015";13;0,385;9;0,333;52;65,4;30;0,667;5;15;0,333;4;0,5;6;64;0,625;6;0,5;319;97;NA;416;NA;-70;NA;10,6666666666667;0,09375;58;0,115384615384615;0,576923076923077;0,2;0,521739130434783;69,3333333333333
"Section";"12";"Langues et littératures germaniques et scandinaves";"2016";18;0,444;13;0,385;44;68,2;28;0,75;6;26;0,231;6;0,333;6;76;0,553;6;0,833;294;93;NA;387;NA;-99;NA;12,6666666666667;0,0789473684210526;70;0,136363636363636;0,636363636363636;0,214285714285714;0,578947368421053;64,5
"Section";"12";"Langues et littératures germaniques et scandinaves";"2017";15;0,4;11;0,364;40;55;28;0,571;8;24;0,25;8;0,25;9;72;0,653;9;0,556;286;92;NA;378;NA;-108;NA;8;0,125;63;0,225;0,7;0,321428571428571;0,612903225806452;42
"Section";"12";"Langues et littératures germaniques et scandinaves";"2018";15;0,533;14;0,571;55;70,9;45;0,733;4;9;0,444;4;0,75;11;76;0,697;10;0,9;281;91;NA;372;NA;-114;NA;6,90909090909091;0,131578947368421;66;0,181818181818182;0,818181818181818;0,222222222222222;0,777777777777778;37,2
"Section";"12";"Langues et littératures germaniques et scandinaves";"2019";12;0,75;10;0,8;48;64,6;30;0,6;0;0;0;0;0;4;48;0,667;4;1;NA;NA;NA;NA;NA;NA;NA;12;0,0833333333333333;44;0,0833333333333333;0,625;0,133333333333333;0,590909090909091;NA
"Section";"13";"Langues et littératures slaves";"2009";9,02380952380952;0,455;6;0,5;47,9087548062703;63,8;34;0,647;3;6;0,5;2;0;4;40;0,825;4;0,75;102;39;NA;141;NA;0;NA;10;0,1;36;0,083492046833087;0,709682398081239;0,117647058823529;0,683235043497884;35,25
"Section";"13";"Langues et littératures slaves";"2010";6,56277056277056;0,625;7;0,714;33,0405205560485;67,5;24;0,708;5;11;0,545;5;0,6;6;67;0,716;5;0,8;102;36;NA;138;NA;-3;NA;11,1666666666667;0,0746268656716418;62;0,15132933488497;0,726380807447856;0,208333333333333;0,677590844364749;27,6
"Section";"13";"Langues et littératures slaves";"2011";9;0,556;7;0,571;41;73,2;25;0,8;1;2;0,5;1;1;4;49;0,837;4;1;93;40;NA;133;NA;-8;NA;12,25;0,0816326530612245;45;0,0975609756097561;0,609756097560976;0,16;0,567567567567568;33,25
"Section";"13";"Langues et littératures slaves";"2012";6;0,333;5;0,2;41;82,9;25;0,88;7;17;0,588;7;0,429;3;35;0,714;3;0,667;95;38;NA;133;NA;-8;NA;11,6666666666667;0,0857142857142857;32;0,0731707317073171;0,609756097560976;0,12;0,578947368421053;44,3333333333333
"Section";"13";"Langues et littératures slaves";"2013";11;0,818;6;1;33;81,8;23;0,783;0;0;0;0;0;5;56;0,857;5;0,8;92;37;NA;129;NA;-12;NA;11,2;0,0892857142857143;51;0,151515151515152;0,696969696969697;0,217391304347826;0,642857142857143;25,8
"Section";"13";"Langues et littératures slaves";"2014";5;0,8;2;1;34;73,5;22;0,682;2;4;0,5;2;1;2;30;0,867;1;1;94;38;NA;132;NA;-9;NA;15;0,0333333333333333;29;0,0294117647058824;0,647058823529412;0,0454545454545455;0,636363636363636;132
"Section";"13";"Langues et littératures slaves";"2015";10;0,8;8;0,75;34;76,5;22;0,818;2;2;0,5;2;0,5;5;56;0,893;5;0,8;92;37;NA;129;NA;-12;NA;11,2;0,0892857142857143;51;0,147058823529412;0,647058823529412;0,227272727272727;0,586206896551724;25,8
"Section";"13";"Langues et littératures slaves";"2016";5;0,2;4;0;28;82,1;13;0,846;2;5;0,4;2;1;1;7;0,714;1;0;91;34;NA;125;NA;-16;NA;7;0,142857142857143;6;0,0357142857142857;0,464285714285714;0,0769230769230769;0,444444444444444;125
"Section";"13";"Langues et littératures slaves";"2017";10;0,5;9;0,444;43;76,7;27;0,852;4;10;0,4;3;0,667;6;45;0,867;6;1;93;33;NA;126;NA;-15;NA;7,5;0,133333333333333;39;0,13953488372093;0,627906976744186;0,222222222222222;0,567567567567568;21
"Section";"13";"Langues et littératures slaves";"2018";9;0,556;7;0,714;46;73,9;29;0,759;3;11;0,636;3;0,333;6;85;0,776;6;0,5;94;32;NA;126;NA;-15;NA;14,1666666666667;0,0705882352941176;79;0,130434782608696;0,630434782608696;0,206896551724138;0,575;21
"Section";"13";"Langues et littératures slaves";"2019";6;0,833;2;0,5;42;54,8;29;0,552;0;0;0;0;0;2;25;0,68;2;0,5;NA;NA;NA;NA;NA;NA;NA;12,5;0,08;23;0,0476190476190476;0,69047619047619;0,0689655172413793;0,675;NA
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2009";32,1271995977878;0,553;23;0,522;203,643201909338;68,6;101;0,743;33;39;0,487;16;0,625;58;281;0,641;56;0,607;754;253;NA;1007;NA;0;NA;4,8448275862069;0,199288256227758;225;0,274990765588783;0,495965487936912;0,554455445544555;0,304788838348499;17,9821428571429
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2010";42,2726310497208;0,54;25;0,6;177,556676044919;72;85;0,729;35;48;0,521;25;0,64;45;263;0,73;43;0,698;760;262;NA;1022;NA;15;NA;5,84444444444444;0,163498098859316;220;0,24217619386568;0,478720383222855;0,505882352941176;0,312136129061178;23,7674418604651
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2011";36;0,556;22;0,545;174;73,6;98;0,724;32;46;0,543;26;0,577;52;293;0,724;46;0,739;759;253;NA;1012;NA;5;NA;5,63461538461539;0,156996587030717;247;0,264367816091954;0,563218390804598;0,469387755102041;0,40625;22
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2012";31;0,71;27;0,667;216;69,9;120;0,717;26;47;0,468;21;0,429;36;289;0,696;35;0,486;754;247;NA;1001;NA;-6;NA;8,02777777777778;0,121107266435986;254;0,162037037037037;0,555555555555556;0,291666666666667;0,469613259668508;28,6
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2013";27;0,667;22;0,773;222;71,6;127;0,724;22;34;0,618;18;0,667;45;344;0,663;43;0,721;744;254;NA;998;NA;-9;NA;7,64444444444444;0,125;301;0,193693693693694;0,572072072072072;0,338582677165354;0,46927374301676;23,2093023255814
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2014";29;0,586;20;0,65;206;65,5;100;0,67;20;46;0,652;18;0,778;40;342;0,693;37;0,595;748;254;NA;1002;NA;-5;NA;8,55;0,108187134502924;305;0,179611650485437;0,485436893203884;0,37;0,372781065088757;27,0810810810811
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2015";34;0,588;27;0,519;211;63,5;126;0,643;16;30;0,567;13;0,462;43;353;0,663;42;0,548;746;245;NA;991;NA;-16;NA;8,2093023255814;0,118980169971671;311;0,199052132701422;0,597156398104265;0,333333333333333;0,497041420118343;23,5952380952381
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2016";22;0,455;15;0,333;205;64,9;122;0,721;12;21;0,619;9;0,778;34;352;0,651;34;0,588;728;238;NA;966;NA;-41;NA;10,3529411764706;0,0965909090909091;318;0,165853658536585;0,595121951219512;0,278688524590164;0,514619883040936;28,4117647058824
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2017";26;0,577;23;0,565;198;62,1;138;0,659;13;32;0,406;12;0,5;29;354;0,636;28;0,607;727;232;NA;959;NA;-48;NA;12,2068965517241;0,0790960451977401;326;0,141414141414141;0,696969696969697;0,202898550724638;0,647058823529412;34,25
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2018";30;0,7;26;0,731;212;66,5;137;0,657;12;45;0,578;10;0,6;27;269;0,595;25;0,56;717;232;NA;949;NA;-58;NA;9,96296296296296;0,0929368029739777;244;0,117924528301887;0,64622641509434;0,182481751824818;0,598930481283422;37,96
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2019";28;0,429;27;0,444;204;62,7;146;0,644;15;49;0,49;15;0,4;20;275;0,633;20;0,55;NA;NA;NA;NA;NA;NA;NA;13,75;0,0727272727272727;255;0,0980392156862745;0,715686274509804;0,136986301369863;0,684782608695652;NA
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2009";23,0421455938697;0,3;16;0,375;146,870421133853;56,2;88;0,545;16;17;0,471;11;0,455;18;90;0,478;18;0,444;294;117;NA;411;NA;0;NA;5;0,2;72;0,122557012235945;0,59916761537573;0,204545454545455;0,543181277628429;22,8333333333333
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2010";17,6656449553001;0,435;12;0,417;106,381818551007;50;63;0,571;11;17;0,235;8;0,25;22;126;0,556;21;0,619;296;117;NA;413;NA;2;NA;5,72727272727273;0,166666666666667;105;0,197402152792971;0,592206458378913;0,333333333333333;0,491908004687312;19,6666666666667
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2011";22;0,455;16;0,438;107;51,4;63;0,54;11;12;0,167;10;0,1;21;110;0,618;19;0,579;300;121;NA;421;NA;10;NA;5,23809523809524;0,172727272727273;91;0,177570093457944;0,588785046728972;0,301587301587302;0,5;22,1578947368421
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2012";23;0,304;13;0,231;122;62,3;73;0,671;9;9;0,111;8;0,125;26;126;0,651;24;0,667;304;114;NA;418;NA;7;NA;4,84615384615385;0,19047619047619;102;0,19672131147541;0,598360655737705;0,328767123287671;0,5;17,4166666666667
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2013";14;0,357;11;0,364;151;52,3;100;0,55;4;4;0,5;3;0,667;22;122;0,631;20;0,65;310;109;NA;419;NA;8;NA;5,54545454545455;0,163934426229508;102;0,132450331125828;0,662251655629139;0,2;0,610687022900763;20,95
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2014";18;0,556;17;0,529;138;57,2;96;0,542;10;20;0,4;7;0,286;26;176;0,563;26;0,423;299;107;NA;406;NA;-5;NA;6,76923076923077;0,147727272727273;150;0,188405797101449;0,695652173913043;0,270833333333333;0,625;15,6153846153846
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2015";23;0,522;22;0,5;139;51,8;91;0,56;12;28;0,5;10;0,6;13;129;0,589;13;0,462;286;106;NA;392;NA;-19;NA;9,92307692307692;0,10077519379845;116;0,0935251798561151;0,654676258992806;0,142857142857143;0,619047619047619;30,1538461538462
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2016";19;0,316;15;0,2;140;63,6;97;0,629;18;34;0,294;17;0,235;21;186;0,554;20;0,6;281;108;NA;389;NA;-22;NA;8,85714285714286;0,10752688172043;166;0,142857142857143;0,692857142857143;0,206185567010309;0,641666666666667;19,45
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2017";20;0,35;15;0,333;166;59,6;105;0,581;8;16;0,313;8;0,25;17;182;0,604;16;0,5;305;110;NA;415;NA;4;NA;10,7058823529412;0,0879120879120879;166;0,0963855421686747;0,632530120481928;0,152380952380952;0,593333333333333;25,9375
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2018";18;0,389;16;0,438;163;53,4;104;0,538;3;4;0,5;3;0,333;22;181;0,569;22;0,591;302;114;NA;416;NA;5;NA;8,22727272727273;0,121546961325967;159;0,134969325153374;0,638036809815951;0,211538461538462;0,581560283687943;18,9090909090909
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d autres domaines linguistiques";"2019";19;0,526;17;0,471;165;57;109;0,56;7;15;0,4;5;0,2;18;192;0,51;17;0,471;NA;NA;NA;NA;NA;NA;NA;10,6666666666667;0,0885416666666667;175;0,103030303030303;0,660606060606061;0,155963302752294;0,621621621621622;NA
"Section";"16";"Psychologie et Ergonomie";"2009";74,3258145363409;0,398;48;0,417;298,352318263519;59,9;141;0,645;42;74;0,419;34;0,441;66;310;0,603;63;0,524;945;353;NA;1298;NA;0;NA;4,6969696969697;0,203225806451613;247;0,211159746861278;0,472595623927621;0,446808510638298;0,331418022883739;20,6031746031746
"Section";"16";"Psychologie et Ergonomie";"2010";49,8320802005013;0,475;32;0,469;247,073013561977;61,6;108;0,593;36;58;0,517;30;0,467;66;373;0,601;58;0,552;940;353;NA;1293;NA;-5;NA;5,65151515151515;0,155495978552279;315;0,234748421787679;0,437117750914989;0,537037037037037;0,264448104243128;22,2931034482759
"Section";"16";"Psychologie et Ergonomie";"2011";66;0,424;49;0,469;254;61,8;113;0,637;40;62;0,419;35;0,371;76;334;0,65;75;0,733;942;357;NA;1299;NA;1;NA;4,39473684210526;0,224550898203593;259;0,295275590551181;0,44488188976378;0,663716814159292;0,212290502793296;17,32
"Section";"16";"Psychologie et Ergonomie";"2012";48;0,479;34;0,529;275;62,2;137;0,657;37;53;0,528;28;0,5;64;337;0,567;60;0,617;959;364;NA;1323;NA;25;NA;5,265625;0,178041543026706;277;0,218181818181818;0,498181818181818;0,437956204379562;0,358139534883721;22,05
"Section";"16";"Psychologie et Ergonomie";"2013";65;0,538;46;0,522;257;62,6;164;0,616;29;70;0,471;27;0,519;64;326;0,641;61;0,672;966;370;NA;1336;NA;38;NA;5,09375;0,187116564417178;265;0,237354085603113;0,638132295719844;0,371951219512195;0,525510204081633;21,9016393442623
"Section";"16";"Psychologie et Ergonomie";"2014";72;0,5;50;0,5;280;61,4;165;0,618;36;68;0,574;28;0,5;58;377;0,581;54;0,63;953;384;NA;1337;NA;39;NA;6,5;0,143236074270557;323;0,192857142857143;0,589285714285714;0,327272727272727;0,491150442477876;24,7592592592593
"Section";"16";"Psychologie et Ergonomie";"2015";52;0,635;38;0,684;242;57,9;148;0,568;36;76;0,592;33;0,606;56;353;0,547;53;0,547;970;403;NA;1373;NA;75;NA;6,30357142857143;0,15014164305949;300;0,21900826446281;0,611570247933884;0,358108108108108;0,502645502645503;25,9056603773585
"Section";"16";"Psychologie et Ergonomie";"2016";71;0,676;60;0,633;274;61,3;152;0,612;28;71;0,577;27;0,593;66;387;0,592;65;0,662;963;397;NA;1360;NA;62;NA;5,86363636363636;0,167958656330749;322;0,237226277372263;0,554744525547445;0,427631578947368;0,416267942583732;20,9230769230769
"Section";"16";"Psychologie et Ergonomie";"2017";52;0,596;38;0,526;263;60,8;174;0,603;25;64;0,547;22;0,545;47;331;0,58;44;0,636;964;407;NA;1371;NA;73;NA;7,04255319148936;0,132930513595166;287;0,167300380228137;0,661596958174905;0,252873563218391;0,593607305936073;31,1590909090909
"Section";"16";"Psychologie et Ergonomie";"2018";77;0,545;56;0,518;237;64,1;159;0,673;19;51;0,588;18;0,444;50;388;0,559;46;0,609;987;406;NA;1393;NA;95;NA;7,76;0,118556701030928;342;0,194092827004219;0,670886075949367;0,289308176100629;0,591623036649215;30,2826086956522
"Section";"16";"Psychologie et Ergonomie";"2019";52;0,538;40;0,575;225;65,3;170;0,682;14;52;0,462;12;0,417;59;355;0,58;56;0,554;NA;NA;NA;NA;NA;NA;NA;6,01694915254237;0,157746478873239;299;0,248888888888889;0,755555555555556;0,329411764705882;0,674556213017751;NA
