"Annee";"SectionCNU.ID";"QualificationDossiers.MCF";"QualificationQualifies.MCF";"PostesPublies.MCF";"Candidatures.MCF";"Candidats.MCF";"PostesPourvus.MCF";"Candidatures.MCF.F";"Candidatures.MCF.H";"Candidats.MCF.F";"Candidats.MCF.H";"Recrutes.MCF.F";"Recrutes.MCF.H"
2003;26;390;234;67;NA;NA;66;NA;NA;NA;NA;NA;NA
2003;27;576;368;159;NA;NA;153;NA;NA;NA;NA;NA;NA
2003;28;481;347;67;NA;NA;66;NA;NA;NA;NA;NA;NA
2003;29;133;118;14;NA;NA;14;NA;NA;NA;NA;NA;NA
2003;30;199;168;29;NA;NA;29;NA;NA;NA;NA;NA;NA
2003;31;421;317;44;NA;NA;42;NA;NA;NA;NA;NA;NA
2003;32;439;315;45;NA;NA;44;NA;NA;NA;NA;NA;NA
2003;33;394;324;45;NA;NA;45;NA;NA;NA;NA;NA;NA
2003;34;70;61;3;NA;NA;3;NA;NA;NA;NA;NA;NA
2003;35;233;164;26;NA;NA;26;NA;NA;NA;NA;NA;NA
2003;36;228;149;16;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;37;128;78;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2003;60;498;311;85;NA;NA;83;NA;NA;NA;NA;NA;NA
2003;61;401;195;66;NA;NA;62;NA;NA;NA;NA;NA;NA
2003;62;325;200;36;NA;NA;35;NA;NA;NA;NA;NA;NA
2003;63;374;218;69;NA;NA;66;NA;NA;NA;NA;NA;NA
2003;64;841;522;42;NA;NA;40;NA;NA;NA;NA;NA;NA
2003;65;724;403;41;NA;NA;39;NA;NA;NA;NA;NA;NA
2003;66;455;215;32;NA;NA;31;NA;NA;NA;NA;NA;NA
2003;67;362;188;32;NA;NA;32;NA;NA;NA;NA;NA;NA
2003;68;404;237;20;NA;NA;20;NA;NA;NA;NA;NA;NA
2003;69;230;164;15;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;70;277;100;43;NA;NA;39;NA;NA;NA;NA;NA;NA
2003;71;208;71;45;NA;NA;40;NA;NA;NA;NA;NA;NA
2003;72;64;46;7;NA;NA;6;NA;NA;NA;NA;NA;NA
2003;73;12;8;2;NA;NA;2;NA;NA;NA;NA;NA;NA
2003;74;188;87;50;NA;NA;44;NA;NA;NA;NA;NA;NA
2003;75;12;6;1;NA;NA;0;NA;NA;NA;NA;NA;NA
2003;85;164;88;16;NA;NA;15;NA;NA;NA;NA;NA;NA
2003;86;190;84;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2003;87;311;135;13;NA;NA;12;NA;NA;NA;NA;NA;NA
2004;1;298;96;91;NA;NA;88;NA;NA;NA;NA;NA;NA
2004;2;265;55;45;NA;NA;43;NA;NA;NA;NA;NA;NA
2004;3;56;18;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2004;4;207;79;17;NA;NA;16;NA;NA;NA;NA;NA;NA
2004;5;314;133;65;NA;NA;61;NA;NA;NA;NA;NA;NA
2004;6;297;119;115;NA;NA;106;NA;NA;NA;NA;NA;NA
2004;7;225;153;37;NA;NA;32;NA;NA;NA;NA;NA;NA
2004;8;54;38;16;NA;NA;15;NA;NA;NA;NA;NA;NA
2004;9;301;145;33;NA;NA;32;NA;NA;NA;NA;NA;NA
2004;10;160;48;15;NA;NA;13;NA;NA;NA;NA;NA;NA
2004;11;193;120;104;NA;NA;90;NA;NA;NA;NA;NA;NA
2004;12;67;41;24;NA;NA;23;NA;NA;NA;NA;NA;NA
2004;13;39;25;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2004;14;170;92;70;NA;NA;57;NA;NA;NA;NA;NA;NA
2004;15;117;61;18;NA;NA;16;NA;NA;NA;NA;NA;NA
2004;16;278;114;63;NA;NA;58;NA;NA;NA;NA;NA;NA
2004;17;198;100;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2004;18;243;133;31;NA;NA;29;NA;NA;NA;NA;NA;NA
2004;19;366;205;36;NA;NA;35;NA;NA;NA;NA;NA;NA
2004;20;228;141;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2004;21;198;115;35;NA;NA;35;NA;NA;NA;NA;NA;NA
2004;22;376;248;47;NA;NA;45;NA;NA;NA;NA;NA;NA
2004;23;209;134;55;NA;NA;52;NA;NA;NA;NA;NA;NA
2004;24;153;60;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2004;25;270;214;49;NA;NA;47;NA;NA;NA;NA;NA;NA
2004;26;387;259;52;NA;NA;51;NA;NA;NA;NA;NA;NA
2004;27;636;374;162;NA;NA;155;NA;NA;NA;NA;NA;NA
2004;28;570;379;68;NA;NA;67;NA;NA;NA;NA;NA;NA
2004;29;119;90;15;NA;NA;15;NA;NA;NA;NA;NA;NA
2004;30;248;191;33;NA;NA;32;NA;NA;NA;NA;NA;NA
2004;31;492;348;62;NA;NA;59;NA;NA;NA;NA;NA;NA
2004;32;502;332;60;NA;NA;59;NA;NA;NA;NA;NA;NA
2004;33;439;359;40;NA;NA;40;NA;NA;NA;NA;NA;NA
2004;34;89;72;11;NA;NA;10;NA;NA;NA;NA;NA;NA
2004;35;222;181;25;NA;NA;25;NA;NA;NA;NA;NA;NA
2004;36;217;145;17;NA;NA;16;NA;NA;NA;NA;NA;NA
2004;37;148;83;9;NA;NA;9;NA;NA;NA;NA;NA;NA
2004;60;568;381;113;NA;NA;109;NA;NA;NA;NA;NA;NA
2004;61;464;254;83;NA;NA;72;NA;NA;NA;NA;NA;NA
2004;62;365;236;44;NA;NA;43;NA;NA;NA;NA;NA;NA
2004;63;444;232;94;NA;NA;92;NA;NA;NA;NA;NA;NA
2004;64;936;525;53;NA;NA;53;NA;NA;NA;NA;NA;NA
2004;65;813;495;42;NA;NA;40;NA;NA;NA;NA;NA;NA
2004;66;529;266;44;NA;NA;44;NA;NA;NA;NA;NA;NA
2004;67;382;187;36;NA;NA;34;NA;NA;NA;NA;NA;NA
2004;68;418;251;29;NA;NA;28;NA;NA;NA;NA;NA;NA
2004;69;238;162;10;NA;NA;8;NA;NA;NA;NA;NA;NA
2004;70;316;118;37;NA;NA;34;NA;NA;NA;NA;NA;NA
2004;71;239;74;55;NA;NA;47;NA;NA;NA;NA;NA;NA
2004;72;72;46;3;NA;NA;3;NA;NA;NA;NA;NA;NA
2004;73;21;12;0;NA;NA;0;NA;NA;NA;NA;NA;NA
2004;74;216;106;52;NA;NA;50;NA;NA;NA;NA;NA;NA
2004;76;21;12;6;NA;NA;6;NA;NA;NA;NA;NA;NA
2004;77;4;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA
2004;85;180;111;19;NA;NA;18;NA;NA;NA;NA;NA;NA
2004;86;205;96;35;NA;NA;34;NA;NA;NA;NA;NA;NA
2004;87;336;185;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2005;1;309;81;73;NA;NA;70;NA;NA;NA;NA;NA;NA
2005;2;252;46;51;NA;NA;46;NA;NA;NA;NA;NA;NA
2005;3;47;22;8;NA;NA;8;NA;NA;NA;NA;NA;NA
2005;4;211;77;15;NA;NA;15;NA;NA;NA;NA;NA;NA
2005;5;315;135;54;NA;NA;53;NA;NA;NA;NA;NA;NA
2005;6;292;128;104;NA;NA;90;NA;NA;NA;NA;NA;NA
2005;7;255;152;39;NA;NA;37;NA;NA;NA;NA;NA;NA
2005;8;71;54;19;NA;NA;18;NA;NA;NA;NA;NA;NA
2005;9;291;138;44;NA;NA;44;NA;NA;NA;NA;NA;NA
2005;10;145;39;6;NA;NA;6;NA;NA;NA;NA;NA;NA
2005;11;178;118;77;NA;NA;65;NA;NA;NA;NA;NA;NA
2005;12;54;29;23;NA;NA;21;NA;NA;NA;NA;NA;NA
2005;13;33;25;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2005;14;165;85;60;NA;NA;58;NA;NA;NA;NA;NA;NA
2005;15;123;58;22;NA;NA;16;NA;NA;NA;NA;NA;NA
2005;16;304;146;67;NA;NA;64;NA;NA;NA;NA;NA;NA
2005;17;194;102;21;NA;NA;21;NA;NA;NA;NA;NA;NA
2005;18;299;165;41;NA;NA;40;NA;NA;NA;NA;NA;NA
2005;19;373;203;46;NA;NA;45;NA;NA;NA;NA;NA;NA
2005;20;238;143;6;NA;NA;6;NA;NA;NA;NA;NA;NA
2005;21;253;146;44;NA;NA;43;NA;NA;NA;NA;NA;NA
2005;22;437;285;52;NA;NA;49;NA;NA;NA;NA;NA;NA
2005;23;219;121;51;NA;NA;49;NA;NA;NA;NA;NA;NA
2005;24;135;70;10;NA;NA;9;NA;NA;NA;NA;NA;NA
2005;25;279;223;50;NA;NA;50;NA;NA;NA;NA;NA;NA
2005;26;402;278;50;NA;NA;50;NA;NA;NA;NA;NA;NA
2005;27;653;404;141;NA;NA;137;NA;NA;NA;NA;NA;NA
2005;28;592;381;43;NA;NA;51;NA;NA;NA;NA;NA;NA
2005;29;153;114;10;NA;NA;9;NA;NA;NA;NA;NA;NA
2005;30;280;227;25;NA;NA;25;NA;NA;NA;NA;NA;NA
2005;31;496;329;40;NA;NA;39;NA;NA;NA;NA;NA;NA
2005;32;573;360;47;NA;NA;47;NA;NA;NA;NA;NA;NA
2005;33;463;349;30;NA;NA;30;NA;NA;NA;NA;NA;NA
2005;34;104;80;5;NA;NA;5;NA;NA;NA;NA;NA;NA
2005;35;205;129;28;NA;NA;28;NA;NA;NA;NA;NA;NA
2005;36;195;133;14;NA;NA;14;NA;NA;NA;NA;NA;NA
2005;37;123;76;8;NA;NA;7;NA;NA;NA;NA;NA;NA
2005;60;529;324;104;NA;NA;98;NA;NA;NA;NA;NA;NA
2005;61;492;263;74;NA;NA;71;NA;NA;NA;NA;NA;NA
2005;62;344;202;36;NA;NA;34;NA;NA;NA;NA;NA;NA
2005;63;446;237;67;NA;NA;66;NA;NA;NA;NA;NA;NA
2005;64;1040;495;44;NA;NA;43;NA;NA;NA;NA;NA;NA
2005;65;816;563;44;NA;NA;43;NA;NA;NA;NA;NA;NA
2005;66;555;270;36;NA;NA;34;NA;NA;NA;NA;NA;NA
2005;67;381;184;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2005;68;418;274;18;NA;NA;18;NA;NA;NA;NA;NA;NA
