"Périmètre";"Périmètre.ID";"Périmètre.label";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes";"Concours.Postes.ATER";"Concours.Postes.MCMU";"Concours.Postes.PRMU";"Source";"Effectif.MCF";"Effectif.PR";"Effectif.ETU";"Effectif.EC";"Contexte.TauxEncadrement";"Contexte.EvolRéelle";"Contexte.EvolNécessaire";"kpi.MCF.TauxTension";"kpi.MCF.TauxRéussite";"kpi.MCF.SansPoste";"kpi.MCF.TauxSélection";"kpi.MCF.TauxSélection.Qualification";"kpi.MCF.TauxSélection.Concours";"kpi.MCF.TauxSélection.QualifVsConcours";"kpi.PériodeRenouvellement"
"Section";"12";"Langues et littératures germaniques et scandinaves";"2021";0;0;0;0;38;55,3;23;0,522;5;18;0,667;5;1;4;53;0,491;4;0,75;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;13,25;0,0754716981132075;49;0,105263157894737;0,605263157894737;0,173913043478261;0,558823529411765;NA
"Section";"13";"Langues et littératures slaves";"2021";1;1;0;0;35;68,6;24;0,708;1;4;0,75;1;0;1;31;0,677;1;0;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;31;0,032258064516129;30;0,0285714285714286;0,685714285714286;0,0416666666666667;0,676470588235294;NA
"Section";"14";"Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"2021";5;0,2;2;0;203;62,6;116;0,603;16;51;0,529;13;0,615;21;347;0,631;21;0,762;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;16,5238095238095;0,0605187319884726;326;0,103448275862069;0,571428571428571;0,181034482758621;0,521978021978022;NA
"Section";"15";"Langues et littératures arabes, chinoises, japonaises, hébraïques, d'autres domaines linguistiques";"2021";2;1;0;0;185;61,1;116;0,629;5;10;0,5;5;0,4;20;202;0,569;19;0,632;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;10,1;0,0940594059405941;183;0,102702702702703;0,627027027027027;0,163793103448276;0,58433734939759;NA
"Section";"16";"Psychologie et Ergonomie";"2021";8;0,375;7;0,429;241;59,8;150;0,607;23;66;0,545;22;0,591;48;293;0,549;45;0,711;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;6,10416666666667;0,15358361774744;248;0,186721991701245;0,622406639004149;0,3;0,535714285714286;NA
"Section";"17";"Philosophie";"2021";21;0,19;10;0,1;258;34,1;162;0,321;13;75;0,347;13;0,385;6;198;0,298;6;0,5;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;33;0,0303030303030303;192;0,0232558139534884;0,627906976744186;0,037037037037037;0,619047619047619;NA
"Section";"18";"Architecture et Arts : plastiques, du spectacle, musique, musicologie, esthétique, sciences de l'art";"2021";18;0,167;5;0,4;434;58,8;260;0,631;12;70;0,5;10;0,5;31;570;0,56;31;0,645;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;18,3870967741935;0,0543859649122807;539;0,0714285714285714;0,599078341013825;0,119230769230769;0,568238213399504;NA
"Section";"19";"Sociologie, démographie";"2021";24;0,25;11;0,364;470;50;236;0,504;17;88;0,523;17;0,647;16;594;0,502;15;0,467;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;37,125;0,0252525252525253;579;0,0319148936170213;0,502127659574468;0,0635593220338983;0,485714285714286;NA
"Section";"2";"Droit public";"2021";2;0;0;0;199;38,2;50;0,4;20;43;0,279;17;0,353;37;217;0,382;36;0,417;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;5,86486486486486;0,165898617511521;181;0,180904522613065;0,251256281407035;0,72;0,0858895705521472;NA
"Section";"20";"Anthropologie biologique, ethnologie, préhistoire";"2021";9;0,222;5;0,2;249;57,4;152;0,592;6;32;0,625;6;0,667;4;63;0,619;4;0,5;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;15,75;0,0634920634920635;59;0,0160642570281124;0,610441767068273;0,0263157894736842;0,604081632653061;NA
"Section";"21";"Histoire et civilisations : histoire et archéologie des mondes anciens et des mondes médiévaux, de l'art";"2021";14;0,357;9;0,556;228;60,1;165;0,606;16;50;0,52;16;0,563;17;313;0,479;17;0,471;NA;NA;NA;"CNU";NA;NA;NA;NA;NA;NA;NA;18,4117647058824;0,0543130990415335;296;0,0745614035087719;0,723684210526316;0,103030303030303;0,701421800947867;NA
